campaign_id,date,client,secteur,service,canal,impressions,clics,ctr_pct,conversions,budget_mad,revenu_mad,cpc_mad,cpa_mad,roas,score_seo,position_google,engagement_pct,statut_campagne
MKT-00023,2026-06-09,Client_013,Finance,Content,Meta Ads,390271.0,24442.0,6.26,388.0,23535.64,1297746.83,0.96,60.66,55.14,90.5,18.4,8.88,Terminée
MKT-00024,2026-03-13,Client_046,Immobilier,SEO,Meta Ads,335507.0,6293.0,1.88,818.0,16153.17,1982708.01,2.57,19.75,122.74,81.7,25.6,4.89,Pause
MKT-00025,2026-04-03,Client_024,Tourisme,SEO,SEO,531142.0,31193.0,5.87,3336.0,33213.39,8942218.68,1.06,9.96,269.24,83.0,3.1,9.56,Active
MKT-00026,2026-06-02,Client_063,Retail,App mobile,SEO,752486.0,,7.44,5460.0,42998.41,11660978.59,0.77,7.88,271.2,59.0,26.2,4.02,Active
MKT-00027,2026-06-01,Client_038,Retail,Branding,Emailing,751960.0,29863.0,3.97,3403.0,16872.16,9668907.17,0.56,4.96,573.07,83.8,21.8,11.65,Optimisation
MKT-00028,2026-06-05,Client_068,Restaurant,SEO,Emailing,682149.0,48112.0,7.05,795.0,13722.96,1019137.07,0.29,17.26,74.27,39.7,15.1,7.75,Terminée
MKT-00029,2026-03-27,Client_030,Education,SEO,Emailing,122514.0,5911.0,4.82,151.0,37846.6,368235.5,6.4,250.64,9.73,67.2,28.6,1.7,Terminée
MKT-00030,2026-04-24,Client_042,Education,SEO,Influence,461448.0,27360.0,5.93,3061.0,26216.7,6450945.7,0.96,8.56,246.06,93.8,8.9,4.04,Optimisation
MKT-00031,2026-03-08,Client_029,Santé,App mobile,TikTok Ads,464364.0,27799.0,5.99,3096.0,31291.94,8105960.8,1.13,10.11,259.04,95.8,8.2,5.85,Optimisation
MKT-00032,2026-01-08,Client_077,Santé,App mobile,TikTok Ads,419530.0,3395.0,0.81,188.0,22966.41,276267.99,6.76,122.16,12.03,79.5,23.1,1.89,Terminée
MKT-00033,2026-02-16,Client_072,Restaurant,Content,Meta Ads,67758.0,1433.0,2.12,153.0,15726.18,47823.38,10.97,102.79,3.04,48.3,19.7,9.06,Optimisation
MKT-00034,2026-03-20,Client_045,Education,SEO,Influence,538692.0,40482.0,7.52,5746.0,28650.8,8896718.22,0.71,4.99,310.52,87.7,10.7,0.96,Active
MKT-00035,2026-03-29,Client_079,Tourisme,Content,Emailing,894838.0,30436.0,3.4,2874.0,11547.0,4160975.41,0.38,4.02,360.35,54.0,22.1,9.65,Active
MKT-00036,2026-01-24,Client_047,Santé,Content,LinkedIn Ads,468199.0,34021.0,7.27,3461.0,10609.84,2494395.4,0.31,3.07,235.1,55.3,20.5,5.09,Active
MKT-00037,2026-04-29,Client_062,Retail,App mobile,Meta Ads,317549.0,19011.0,5.99,1844.0,31750.43,1128183.98,1.67,17.22,35.53,46.2,9.3,6.59,Terminée
MKT-00038,2026-06-04,Client_045,Finance,Publicité,SEO,516019.0,38062.0,7.38,1510.0,25050.96,4412342.59,0.66,16.59,176.13,82.5,27.0,6.79,Terminée
MKT-00039,2026-05-30,Client_009,Santé,Branding,TikTok Ads,286267.0,7834.0,2.74,565.0,41857.5,1541068.92,,74.08,36.82,89.8,14.6,8.62,Optimisation
MKT-00040,2026-01-17,Client_044,Retail,App mobile,Influence,644193.0,10036.0,1.56,1555.0,14442.82,4334672.92,1.44,9.29,300.13,95.6,28.8,4.08,Optimisation
MKT-00041,2026-01-06,Client_034,Retail,App mobile,Influence,209641.0,10866.0,5.18,496.0,26129.82,918260.89,2.4,52.68,35.14,86.9,25.3,2.24,Terminée
MKT-00042,2026-04-21,Client_021,Retail,Publicité,LinkedIn Ads,456566.0,38074.0,8.34,2742.0,8500.51,10883559.32,0.22,3.1,1280.34,57.7,27.2,9.59,Optimisation
MKT-00043,2026-01-13,Client_075,Restaurant,Publicité,Google Ads,776720.0,64643.0,8.32,8425.0,14539.94,5956494.44,0.22,1.73,409.66,84.0,21.7,4.0,Optimisation
MKT-00044,2026-04-22,Client_089,Santé,App mobile,Google Ads,610772.0,40369.0,6.61,2757.0,31692.31,3806211.62,0.79,11.5,120.1,43.2,4.5,4.37,Terminée
MKT-00045,2026-03-09,Client_050,Finance,Branding,Emailing,591597.0,24008.0,4.06,582.0,33096.91,714421.08,1.38,56.87,21.59,84.7,21.5,2.83,Pause
MKT-00046,2026-06-07,Client_056,Santé,Content,Meta Ads,866966.0,69736.0,8.04,8229.0,36929.54,25532435.31,0.53,4.49,691.38,61.8,17.8,6.11,Terminée
MKT-00047,2026-05-05,Client_005,Tourisme,Landing page,Google Ads,614862.0,10433.0,1.7,123.0,20276.48,230715.4,1.94,164.85,11.38,44.5,13.9,11.93,Optimisation
MKT-00048,2026-02-04,Client_020,Tourisme,Content,SEO,836755.0,65667.0,7.85,8140.0,32695.1,18218023.34,0.5,4.02,557.21,74.4,23.3,7.19,Terminée
MKT-00049,2026-04-16,Client_075,Finance,Publicité,Google Ads,756190.0,35049.0,4.63,435.0,12623.98,1179852.21,0.36,29.02,93.46,87.7,4.8,11.77,Pause
MKT-00050,2026-04-28,Client_050,Immobilier,Publicité,Emailing,248071.0,17293.0,6.97,1058.0,41997.19,546637.75,2.43,39.69,13.02,83.7,8.9,9.02,Pause
MKT-00051,2026-04-07,Client_062,Retail,Landing page,SEO,285682.0,10013.0,3.51,760.0,31813.29,2836278.24,3.18,41.86,89.15,37.7,20.0,11.82,Active
MKT-00052,2026-03-04,Client_072,Finance,Landing page,LinkedIn Ads,610113.0,45319.0,7.43,4903.0,26116.8,7511520.4,0.58,5.33,287.61,95.3,27.3,0.8,Pause
MKT-00053,2026-04-23,Client_033,Tourisme,SEO,Google Ads,19175.0,837.0,4.37,108.0,31844.48,308747.22,38.05,294.86,9.7,91.2,27.2,10.02,Active
MKT-00054,2026-03-17,Client_046,Education,Branding,Emailing,330223.0,22013.0,6.67,3080.0,22479.65,6938556.87,1.02,7.3,308.66,83.8,16.8,2.87,Pause
MKT-00055,2026-01-24,Client_072,Immobilier,Publicité,TikTok Ads,340784.0,19855.0,5.83,1763.0,16669.56,2599182.67,0.84,9.46,155.92,48.6,1.6,0.68,Pause
MKT-00056,2026-06-17,Client_080,Restaurant,Landing page,SEO,255439.0,2779.0,1.09,210.0,42364.61,146860.67,15.24,201.74,3.47,56.3,25.2,3.15,Terminée
MKT-00057,2026-06-02,Client_084,Restaurant,SEO,Google Ads,533993.0,41558.0,7.78,4614.0,17155.12,18937468.34,0.41,3.72,1103.9,81.3,23.6,3.97,Active
MKT-00058,2026-04-30,Client_043,Education,Landing page,Emailing,490258.0,9933.0,2.03,669.0,33233.26,2773133.18,3.35,49.68,83.44,88.4,16.8,8.25,Active
MKT-00059,2026-03-13,Client_077,Restaurant,Content,Google Ads,639532.0,49706.0,7.77,4746.0,27466.64,16892341.17,0.55,5.79,615.01,50.8,12.0,11.21,Active
MKT-00060,2026-02-15,Client_015,Restaurant,Publicité,TikTok Ads,241953.0,13376.0,5.53,1110.0,22836.82,4230098.23,1.71,20.57,185.23,92.7,17.9,1.34,Terminée
MKT-00061,2026-05-14,Client_068,Finance,App mobile,Influence,687047.0,37843.0,5.51,2819.0,36825.16,8639009.34,0.97,13.06,234.6,58.1,19.0,5.47,Active
MKT-00062,2026-05-13,Client_041,Santé,App mobile,LinkedIn Ads,254262.0,3312.0,1.3,291.0,25177.25,301943.86,7.6,86.52,11.99,92.9,1.7,1.4,Optimisation
MKT-00063,2026-01-31,Client_055,Restaurant,Publicité,Meta Ads,286011.0,17481.0,6.11,1773.0,41787.21,725731.5,2.39,23.57,17.37,38.1,2.3,5.17,Active
MKT-00064,2026-06-19,Client_077,Finance,Publicité,SEO,220051.0,10755.0,4.89,455.0,36899.56,1251870.45,3.43,81.1,33.93,54.4,22.3,7.67,Pause
MKT-00065,2026-04-02,Client_079,Finance,App mobile,LinkedIn Ads,376750.0,18936.0,5.03,2565.0,15733.06,1178627.39,0.83,6.13,74.91,57.4,7.4,3.27,Terminée
MKT-00066,2026-06-20,Client_040,Retail,Content,Meta Ads,703021.0,19893.0,2.83,1861.0,29280.15,2943272.45,1.47,15.73,100.52,68.2,15.5,8.3,Optimisation
MKT-00067,2026-03-11,Client_044,Tourisme,App mobile,TikTok Ads,612072.0,46012.0,7.52,5712.0,18632.01,18740862.96,0.4,3.26,1005.84,43.1,4.2,2.78,Optimisation
MKT-00068,2026-03-11,Client_025,Immobilier,Publicité,Influence,494114.0,40024.0,8.1,4261.0,43167.27,11146027.15,1.08,10.13,258.21,70.5,29.4,6.55,Active
MKT-00069,2026-01-28,Client_063,Finance,Landing page,Google Ads,614132.0,25574.0,4.16,527.0,12184.84,1275818.63,0.48,23.12,104.71,71.2,14.9,10.19,Optimisation
MKT-00070,2026-02-03,Client_015,Education,Landing page,Emailing,802768.0,44553.0,5.55,7006.0,2263.08,20604492.94,0.05,0.32,9104.64,72.0,23.1,5.51,Pause
MKT-00071,2026-01-14,Client_033,Immobilier,SEO,TikTok Ads,524126.0,12346.0,2.36,896.0,38596.34,2219349.3,3.13,43.08,57.5,78.1,10.6,11.05,Pause
MKT-00072,2026-06-25,Client_038,Restaurant,Branding,Google Ads,223861.0,13195.0,5.89,1245.0,4375.13,3210987.76,0.33,3.51,733.92,57.7,27.4,5.62,Pause
MKT-00073,2026-02-24,Client_039,Tourisme,Branding,Influence,408234.0,23250.0,5.7,2540.0,13501.19,10563989.53,0.58,5.32,782.45,71.3,8.2,11.66,Pause
MKT-00074,2026-05-16,Client_017,Santé,Content,LinkedIn Ads,361016.0,9637.0,2.67,1337.0,3871.75,4968758.27,0.4,2.9,1283.34,66.1,3.8,8.24,Active
MKT-00075,2026-02-06,Client_028,Retail,Branding,SEO,197403.0,1261.0,0.64,180.0,42592.11,196887.04,33.78,236.62,4.62,57.6,22.9,5.64,Pause
MKT-00076,2026-01-01,Client_057,Immobilier,Landing page,TikTok Ads,677434.0,9402.0,1.39,421.0,30272.47,904293.19,3.22,71.91,29.87,86.1,17.9,1.9,Optimisation
MKT-00077,2026-05-14,Client_019,Retail,SEO,Meta Ads,252128.0,6665.0,,891.0,25254.74,2490076.75,3.79,28.34,98.6,68.9,12.8,7.77,Active
MKT-00078,2026-06-01,Client_084,Retail,SEO,SEO,646529.0,36446.0,5.64,445.0,34485.02,992545.23,0.95,77.49,28.78,58.2,11.9,9.62,Pause
MKT-00079,2026-03-20,Client_062,Restaurant,Publicité,Meta Ads,520227.0,43563.0,8.37,1755.0,40671.9,2393741.53,0.93,,58.85,39.3,10.3,3.74,Active
MKT-00080,2026-06-14,Client_011,Tourisme,Branding,LinkedIn Ads,342393.0,27061.0,7.9,1399.0,4420.28,,0.16,3.16,794.69,46.4,27.5,5.89,Terminée
MKT-00081,2026-06-11,Client_058,Finance,Content,Google Ads,774370.0,3554.0,0.46,515.0,44530.09,1525734.92,12.53,86.47,34.26,55.3,8.4,0.94,Optimisation
MKT-00082,2026-06-21,Client_022,Immobilier,SEO,LinkedIn Ads,282187.0,3603.0,1.28,529.0,19728.85,2049304.86,5.48,37.29,103.87,37.6,21.6,3.96,Terminée
MKT-00083,2026-01-08,Client_005,Finance,SEO,Google Ads,484282.0,4309.0,0.89,339.0,34315.17,,7.96,101.22,8.71,92.1,13.0,9.59,Active
MKT-00084,2026-04-05,Client_080,Education,Publicité,TikTok Ads,591613.0,34471.0,5.83,3090.0,33578.98,4187522.59,0.97,10.87,124.71,68.5,24.4,9.94,Optimisation
MKT-00085,2026-05-03,Client_087,Finance,Content,Google Ads,221251.0,8491.0,3.84,328.0,26649.61,1201818.18,3.14,81.25,45.1,79.9,2.9,1.76,Pause
MKT-00086,2026-02-26,Client_055,Finance,Branding,LinkedIn Ads,298035.0,16208.0,5.44,593.0,7765.37,2418693.76,0.48,13.1,311.47,84.8,20.5,1.97,Pause
MKT-00087,2026-06-11,Client_011,Retail,SEO,Meta Ads,684575.0,47845.0,6.99,3755.0,6814.17,10418350.22,0.14,1.81,1528.92,82.6,25.3,3.45,Active
MKT-00088,2026-01-29,Client_071,Santé,Content,SEO,740633.0,47125.0,6.36,996.0,23809.54,3165873.63,0.51,23.91,132.97,83.9,13.0,10.03,Active
MKT-00089,2026-04-27,Client_014,Immobilier,App mobile,TikTok Ads,623121.0,43071.0,6.91,6556.0,9830.39,10251169.52,0.23,1.5,1042.8,36.7,20.5,4.93,Active
MKT-00090,2026-06-16,Client_079,Tourisme,Landing page,Meta Ads,591416.0,2483.0,0.42,77.0,19379.87,138169.73,7.81,251.69,7.13,94.3,16.7,6.82,Optimisation
MKT-00091,2026-06-29,Client_079,Restaurant,SEO,Google Ads,644670.0,32368.0,5.02,4125.0,12202.49,12754648.33,0.38,2.96,1045.25,95.4,25.0,7.22,Terminée
MKT-00092,2026-05-28,Client_019,Finance,Publicité,Emailing,545018.0,41245.0,7.57,3942.0,24988.68,7119343.88,0.61,6.34,284.9,57.1,9.9,6.3,Terminée
MKT-00093,2026-06-19,Client_001,Finance,SEO,SEO,561043.0,38088.0,6.79,834.0,2280.94,3081445.94,0.06,2.73,1350.95,56.0,12.4,8.34,Active
MKT-00094,2026-01-18,Client_076,Finance,Branding,TikTok Ads,467272.0,8323.0,1.78,606.0,5628.57,499698.4,0.68,9.29,88.78,35.0,10.9,10.11,Optimisation
MKT-00095,2026-04-15,Client_074,Immobilier,App mobile,SEO,785936.0,34891.0,4.44,4013.0,22816.65,10514858.92,0.65,5.69,460.84,91.0,18.2,10.78,Optimisation
MKT-00096,2026-05-13,Client_005,Retail,Publicité,Google Ads,623496.0,20355.0,3.26,783.0,24213.2,1811845.46,1.19,30.92,74.83,76.2,10.1,4.16,Optimisation
MKT-00097,2026-01-05,Client_068,Tourisme,Branding,SEO,224714.0,13273.0,5.91,1687.0,17530.89,6208242.75,1.32,10.39,354.13,73.6,17.1,4.22,Terminée
MKT-00098,2026-04-16,Client_016,Santé,SEO,TikTok Ads,883580.0,39128.0,4.43,6059.0,15960.79,3992001.74,0.41,2.63,250.11,96.9,23.1,7.27,Terminée
MKT-00099,2026-01-26,Client_044,Finance,SEO,Meta Ads,690142.0,7034.0,1.02,169.0,22553.29,396724.05,3.21,133.45,17.59,47.4,27.7,7.13,Pause
MKT-00100,2026-03-24,Client_081,Education,Content,Emailing,114119.0,2300.0,2.02,291.0,8726.38,417899.91,3.79,29.99,47.89,41.2,11.2,1.94,Pause
MKT-00101,2026-06-19,Client_002,Retail,Landing page,SEO,279825.0,12253.0,4.38,891.0,35906.54,1470385.69,2.93,40.3,40.95,56.0,21.4,8.86,Terminée
MKT-00102,2026-05-22,Client_002,Finance,App mobile,Influence,527596.0,28435.0,5.39,1384.0,23881.13,467849.66,0.84,17.26,19.59,86.0,3.7,4.65,Terminée
MKT-00103,2026-05-13,Client_024,Restaurant,Branding,SEO,286635.0,8878.0,3.1,231.0,5707.63,375705.75,0.64,24.71,65.83,78.5,10.7,1.67,Terminée
MKT-00104,2026-05-12,Client_052,Retail,Content,Meta Ads,301018.0,2307.0,0.77,287.0,13193.06,146088.62,5.72,45.97,11.07,45.7,10.0,4.27,Active
MKT-00105,2026-01-06,Client_031,Retail,SEO,Google Ads,743666.0,32547.0,4.38,3469.0,16031.61,8158788.56,0.49,4.62,508.92,47.2,8.9,4.0,Terminée
MKT-00106,2026-06-10,Client_011,Finance,Branding,Meta Ads,823066.0,11785.0,1.43,1304.0,27169.55,1771017.38,2.31,20.84,65.18,51.9,4.9,0.84,Pause
MKT-00107,2026-01-23,Client_080,Tourisme,Content,Google Ads,896789.0,15839.0,1.77,1037.0,1514.67,3005159.7,0.1,1.46,1984.04,50.5,4.3,10.62,Active
MKT-00108,2026-02-19,Client_078,Finance,Branding,Influence,234082.0,11707.0,5.0,332.0,18855.5,521151.83,1.61,56.79,27.64,37.0,23.8,9.48,Active
MKT-00109,2026-06-12,Client_022,Immobilier,App mobile,SEO,239844.0,18736.0,7.81,2104.0,31967.19,1264509.78,1.71,15.19,39.56,90.8,15.3,11.54,Optimisation
MKT-00110,2026-06-25,Client_003,Immobilier,App mobile,Meta Ads,676870.0,3707.0,0.55,45.0,10955.53,31032.91,2.96,243.46,2.83,83.0,10.8,9.94,Active
MKT-00111,2026-06-26,Client_008,Santé,Landing page,LinkedIn Ads,477560.0,27856.0,5.83,2272.0,21713.47,662513.54,0.78,9.56,30.51,48.4,12.8,8.17,Optimisation
MKT-00112,2026-06-06,Client_086,Immobilier,SEO,Meta Ads,505676.0,23542.0,4.66,1471.0,6979.01,629534.32,0.3,4.74,90.2,47.7,6.7,0.79,Terminée
MKT-00113,2026-03-06,Client_072,Finance,Branding,Meta Ads,168234.0,3857.0,2.29,174.0,14564.27,608712.17,3.78,83.7,41.79,97.6,7.6,7.91,Terminée
MKT-00114,2026-03-20,Client_022,Retail,Branding,LinkedIn Ads,593893.0,35488.0,5.98,4947.0,27219.99,2965330.45,0.77,5.5,108.94,42.7,18.3,3.64,Terminée
MKT-00115,2026-06-09,Client_082,Retail,Branding,Emailing,255654.0,19330.0,7.56,2771.0,43622.25,7672279.28,2.26,15.74,175.88,77.5,28.2,10.76,Terminée
MKT-00116,2026-04-14,Client_073,Santé,Content,Emailing,737045.0,24215.0,3.29,1060.0,31604.84,2107856.53,1.31,29.82,66.69,48.3,23.9,7.72,Optimisation
MKT-00117,2026-05-31,Client_069,Santé,Content,Google Ads,660842.0,35165.0,5.32,5262.0,24825.53,12500952.03,0.71,4.72,503.55,91.6,9.0,2.86,Terminée
MKT-00118,2026-04-18,Client_036,Restaurant,App mobile,SEO,726149.0,58354.0,8.04,3507.0,410.05,2097131.78,0.01,0.12,5114.32,92.9,3.3,1.89,Optimisation
MKT-00119,2026-03-31,Client_003,Immobilier,Publicité,SEO,256169.0,7334.0,2.86,968.0,3648.33,3515240.03,0.5,3.77,963.52,74.7,8.7,1.5,Pause
MKT-00120,2026-02-23,Client_027,Finance,Content,Influence,516381.0,7023.0,1.36,467.0,38628.5,1206307.78,5.5,82.72,31.23,45.7,13.2,5.1,Optimisation
MKT-00121,2026-02-14,Client_071,Tourisme,Branding,TikTok Ads,284662.0,19427.0,6.82,721.0,12054.57,1765266.5,0.62,16.72,146.44,53.8,16.0,4.99,Pause
MKT-00122,2026-06-06,Client_009,Finance,Publicité,Influence,474305.0,15739.0,3.32,971.0,14236.93,1170376.31,0.9,14.66,82.21,64.9,4.6,11.57,Optimisation
MKT-00123,2026-02-20,Client_040,Retail,Landing page,Emailing,788423.0,,5.69,1804.0,43092.03,626024.07,0.96,,14.53,61.5,11.4,3.12,Active
MKT-00124,2026-04-02,Client_014,Education,Publicité,Google Ads,852178.0,39735.0,4.66,2922.0,41553.67,8497927.36,1.05,14.22,204.5,59.8,13.9,5.02,Terminée
MKT-00125,2026-01-17,Client_077,Education,Branding,LinkedIn Ads,651742.0,43137.0,6.62,4435.0,2141.95,4496638.92,0.05,0.48,2099.32,42.5,6.2,5.82,Terminée
MKT-00126,2026-01-15,Client_011,Retail,Branding,Emailing,120567.0,3913.0,3.25,65.0,36587.21,54928.74,9.35,562.88,1.5,88.9,26.2,1.49,Active
MKT-00127,2026-02-16,Client_017,Immobilier,App mobile,Google Ads,147297.0,6926.0,4.7,680.0,21063.02,1374738.6,3.04,30.98,65.27,58.3,17.0,8.32,Pause
MKT-00128,2026-05-27,Client_037,Retail,Publicité,Influence,650377.0,30703.0,4.72,1073.0,28474.89,1805737.04,0.93,26.54,63.42,77.7,18.4,2.45,Pause
MKT-00129,2026-05-08,Client_022,Education,Publicité,LinkedIn Ads,21112.0,456.0,2.16,69.0,29529.68,86780.06,64.76,427.97,2.94,44.0,8.4,8.17,Active
MKT-00130,2026-05-23,Client_061,Finance,Content,TikTok Ads,867642.0,33274.0,3.84,5247.0,36931.8,9420621.06,1.11,7.04,255.08,37.5,21.9,4.16,Optimisation
MKT-00131,2026-01-06,Client_036,Education,Content,TikTok Ads,210303.0,12500.0,5.94,754.0,17610.0,2450091.26,1.41,23.36,139.13,78.2,7.9,11.39,Terminée
MKT-00132,2026-04-29,Client_088,Restaurant,App mobile,TikTok Ads,71392.0,3528.0,4.94,40.0,44141.59,112223.61,12.51,1103.54,2.54,51.4,24.8,6.09,Active
MKT-00133,2026-06-01,Client_033,Finance,App mobile,Influence,770584.0,61848.0,8.03,,21043.97,,0.34,5.14,706.83,77.8,10.5,4.88,Active
MKT-00134,2026-01-07,Client_080,Retail,Content,TikTok Ads,589123.0,27630.0,4.69,2765.0,38351.98,11350457.35,1.39,13.87,295.95,78.5,5.8,9.99,Pause
MKT-00135,2026-06-20,Client_060,Education,Branding,Emailing,304324.0,5984.0,1.97,854.0,7114.83,3354401.49,1.19,8.33,471.47,86.3,3.8,10.87,Optimisation
MKT-00136,2026-02-24,Client_061,Tourisme,Publicité,Google Ads,872990.0,28942.0,3.32,2105.0,5851.4,6023703.34,0.2,2.78,1029.45,59.7,16.5,3.21,Optimisation
MKT-00137,2026-06-12,Client_077,Tourisme,Publicité,Google Ads,586519.0,38262.0,6.52,4342.0,39038.14,6558760.78,1.02,8.99,168.01,97.5,27.6,1.13,Terminée
MKT-00138,2026-03-08,Client_034,Tourisme,Landing page,Google Ads,654288.0,5611.0,0.86,452.0,22930.98,140639.88,4.09,50.73,6.13,40.4,24.2,10.39,Optimisation
MKT-00139,2026-01-13,Client_018,Education,Branding,TikTok Ads,210315.0,14295.0,6.8,1365.0,43076.25,3113547.45,3.01,31.56,72.28,55.3,23.9,6.61,Pause
MKT-00140,2026-04-28,Client_048,Finance,Branding,SEO,366295.0,27627.0,7.54,2291.0,38115.78,4807272.35,1.38,16.64,126.12,86.9,8.7,1.27,Optimisation
MKT-00141,2026-01-12,Client_018,Tourisme,Publicité,Google Ads,659737.0,32716.0,4.96,4834.0,23297.83,4285885.34,0.71,4.82,183.96,66.3,22.4,11.86,Pause
MKT-00142,2026-01-30,Client_051,Tourisme,Content,LinkedIn Ads,545029.0,11157.0,2.05,784.0,44806.38,422401.66,4.02,57.15,9.43,61.5,13.2,2.31,Terminée
MKT-00143,2026-02-09,Client_023,Santé,App mobile,Influence,632888.0,8578.0,1.36,1021.0,42670.86,2010144.18,4.97,41.79,47.11,91.5,23.8,4.22,Terminée
MKT-00144,2026-04-06,Client_044,Finance,Content,Google Ads,472167.0,23300.0,4.93,1640.0,35652.71,777063.02,1.53,21.74,21.8,94.3,15.6,11.57,Terminée
MKT-00145,2026-06-17,Client_062,Immobilier,Content,Influence,559481.0,13107.0,2.34,1409.0,12481.99,4438170.37,0.95,8.86,355.57,54.8,26.7,1.81,Pause
MKT-00146,2026-04-05,Client_039,Santé,SEO,TikTok Ads,137826.0,7373.0,5.35,338.0,15086.73,86887.25,2.05,44.64,5.76,86.9,9.0,7.44,Optimisation
MKT-00147,2026-03-08,Client_058,Santé,Publicité,Emailing,471741.0,38590.0,8.18,3131.0,41152.34,1985191.1,1.07,13.14,48.24,76.3,20.1,1.96,Active
MKT-00148,2026-02-06,Client_027,Immobilier,Landing page,SEO,34156.0,1401.0,4.1,28.0,31208.46,30540.59,22.28,1114.59,0.98,61.9,13.4,7.2,Optimisation
MKT-00149,2026-04-04,Client_073,Finance,Publicité,Emailing,631938.0,27931.0,4.42,4341.0,24917.54,15310925.03,0.89,5.74,614.46,94.8,7.7,3.17,Pause
MKT-00150,2026-03-13,Client_065,Santé,Publicité,TikTok Ads,422781.0,21837.0,5.17,2372.0,44966.04,4237653.58,2.06,18.96,94.24,40.9,1.6,2.54,Active
